Table 10 - Pupils in Membership by Race and Sex,,,,,,,,,,,,,,,,,
Year 2016,,,,,,,,,,,,,,,,,
Year,LEA,____LEA Name____,,HISPANIC Male,HISPANIC Female,BLACK Male,BLACK Female,WHITE Male,WHITE Female,,Total,,,,,,
2016,870,Swain County Schools,,48,47,9,6,676,601,,"1,937",,,,,,
2016,880,Transylvania County Schools,,126,107,83,90,"1,463","1,375",,"3,467",,,,,,
2016,890,Tyrrell County Schools,,43,58,97,101,131,83,,577,,,,,,
2016,900,Union County Schools,,"3,610","3,314","2,757","2,620","14,017","13,067",,"41,954",,,,,,
2016,910,Vance County Schools,,450,430,"1,996","1,988",697,606,,"6,421",,,,,,
2016,920,Wake County Schools,,"13,490","12,924","18,812","18,394","38,435","36,216",,"156,644",,,,,,
2016,930,Warren County Schools,,90,76,736,741,210,187,,"2,239",,,,,,
2016,940,Washington County Schools,,68,53,586,524,142,141,,"1,551",,,,,,
2016,950,Watauga County Schools,,189,163,30,18,"1,913","1,814",,"4,312",,,,,,
2016,960,Wayne County Schools,,"2,028","1,884","3,344","3,183","3,857","3,381",,"18,713",,,,,,
2016,970,Wilkes County Schools,,662,659,202,174,"3,923","3,617",,"9,656",,,,,,
2016,980,Wilson County Schools,,"1,145","1,110","2,786","2,750","2,017","1,864",,"12,200",,,,,,
2016,990,Yadkin County Schools,,646,606,88,70,"2,006","1,801",,"5,384",,,,,,
2016,995,Yancey County Schools,,154,127,9,6,998,877,,"2,206",,,,,,
Total,,,,"122,244","116,503","189,220","181,646","369,205","344,327",,"1,442,415",,,,,,
,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
