County,Math_2011,CR_2011,Writing_2011,Total_2011,Math_2012,CR_2012,Writing_2012,Total_2012,Math_2013,CR_2013,Writing_2013,Total_2013,Math_2014,CR_2014,Writing_2014,Total_2014,Math_2015,CR_2015,Writing_2015,Total_2015,Math_2016,CR_2016,Writing_2016,total_2016,ERW_2017,Math_2017,Total_2017
 Nash,485,460,438,1383,480,455,435,1370,470,451,434,1355,0,0,0,0,0,0,0,0,470,458,428,1356,558,546,1103
 New Hanover ,524,506,483,1513,521,503,477,1501,526,516,494,1536,476,454,428,1358,460,450,425,1335,590,582,567,1739,544,527,1071
 Northampton ,403,374,370,1147,399,386,375,1160,419,393,383,1195,514,504,478,1496,498,500,477,1475,504,511,478,1493,544,535,1079
 Onslow ,497,479,454,1430,494,480,454,1428,483,478,453,1414,499,489,465,1453,494,483,454,1431,523,530,499,1552,632,627,1258
 Orange ,523,520,498,1541,529,515,498,1542,523,515,499,1537,493,475,451,1419,498,488,465,1451,444,444,407,1295,486,506,991
 Pamlico ,526,494,454,1474,517,478,451,1446,498,487,451,1436,599,584,570,1753,606,595,575,1776,496,477,448,1421,535,530,1065
Pasquotank ,464,456,432,1352,462,443,426,1331,443,445,427,1315,610,583,573,1766,609,590,571,1770,496,514,475,1485,532,523,1055
 Pender ,489,480,456,1425,491,479,460,1430,494,489,469,1452,486,470,431,1387,498,466,432,1396,488,492,449,1429,574,587,1160
 Perquimans ,494,452,435,1381,497,470,446,1413,471,449,417,1337,499,502,478,1479,494,497,472,1463,452,465,445,1362,534,530,1064
 Person ,476,463,437,1376,488,473,454,1415,489,474,454,1417,464,467,436,1367,462,447,428,1337,434,420,398,1252,554,537,1091
 Pitt ,506,484,460,1450,486,466,440,1392,496,481,456,1433,463,446,424,1333,473,465,431,1369,409,385,357,1151,554,549,1103
 Polk ,508,487,459,1454,529,496,487,1512,523,513,513,1549,527,504,460,1491,530,508,472,1510,459,452,417,1328,491,483,974
 Randolph ,504,478,459,1441,494,471,453,1418,490,468,452,1410,451,431,398,1280,450,423,399,1272,474,465,438,1377,455,446,901
 Richmond  ,452,437,421,1310,446,435,419,1300,455,451,436,1342,494,476,440,1410,496,476,472,1444,443,442,416,1301,520,504,1024
Robeson ,450,419,405,1274,441,408,398,1247,432,409,392,1233,473,469,449,1391,478,465,443,1386,461,458,423,1342,528,501,1029
 Rockingham ,487,471,456,1414,472,448,437,1357,466,457,436,1359,452,439,419,1310,450,435,417,1302,448,429,405,1282,499,492,991
 Rowan,495,474,453,1422,483,466,446,1395,484,469,452,1405,478,469,442,1389,468,463,442,1373,507,476,438,1421,519,500,1019
 Rutherford ,481,467,452,1400,475,465,441,1381,450,443,424,1317,473,456,421,1350,461,468,447,1376,0,0,0,0,544,533,1078
 Sampson ,469,449,430,1348,475,451,434,1360,468,459,442,1369,440,433,407,1280,466,455,427,1348,523,533,502,1558,535,530,1066
 Scotland ,458,429,418,1305,434,410,398,1242,446,430,413,1289,424,413,399,1236,430,422,403,1255,0,0,0,0,582,554,1136
 Stanly ,495,465,442,1402,493,461,440,1394,491,463,445,1399,445,432,401,1278,438,426,404,1268,422,406,405,1233,542,562,1103
 Stokes ,499,477,453,1429,483,472,443,1398,482,467,455,1404,498,458,438,1394,507,487,448,1442,576,540,531,1647,567,568,1135
 Surry ,516,486,465,1467,509,479,451,1439,512,482,462,1456,503,507,474,1484,476,491,453,1420,570,543,523,1636,554,553,1108
 Swain ,473,487,461,1421,490,466,447,1403,472,467,436,1375,511,506,479,1496,515,521,501,1537,597,564,544,1705,515,480,995
 Transylvania ,516,502,469,1487,518,511,468,1497,530,524,477,1531,458,443,421,1322,479,474,453,1406,527,525,498,1550,593,601,1194
 Tyrrell ,443,423,396,1262,461,448,438,1347,465,448,438,1351,466,459,420,1345,493,513,465,1471,538,522,503,1563,595,576,1171
 Union ,524,503,491,1518,529,507,493,1529,523,506,495,1524,411,448,424,1283,495,475,457,1427,566,544,530,1640,0,0,0
 Vance ,448,418,405,1271,443,418,419,1280,441,422,419,1282,512,514,502,1528,504,520,493,1517,405,410,387,1202,0,0,0
 Wake,544,521,503,1568,543,520,502,1565,541,523,508,1572,434,437,435,1306,469,473,461,1403,422,436,393,1251,510,473,983
 Warren ,419,408,399,1226,417,403,397,1217,394,388,377,1159,651,649,629,1929,635,626,605,1866,514,515,475,1504,552,517,1068
 Washington ,424,405,398,1227,407,385,385,1177,413,391,394,1198,406,394,386,1186,432,438,441,1311,0,0,0,0,535,519,1054
 Watauga ,544,540,506,1590,547,534,506,1587,541,546,518,1605,465,445,403,1313,402,436,384,1222,596,588,553,1737,543,534,1077
 Wayne ,487,463,441,1391,481,461,439,1381,476,463,438,1377,549,548,520,1617,531,532,509,1572,469,495,462,1426,0,0,0
 Wilkes ,521,498,473,1492,510,496,468,1474,505,493,476,1474,537,527,509,1573,514,504,484,1502,481,480,466,1427,0,0,0
 Wilson ,493,468,449,1410,490,467,444,1401,490,463,449,1402,522,508,473,1503,504,481,459,1444,393,430,413,1236,540,514,1054
 Yadkin ,512,484,462,1458,502,476,443,1421,500,470,457,1427,491,466,447,1404,476,460,430,1366,0,0,0,0,551,553,1103
 Yancey ,538,504,483,1525,510,508,465,1483,494,488,466,1448,464,449,434,1347,474,450,417,1341,575,574,552,1701,515,506,1021
