County,hispanic_2013,black_2013,white_2013,other_2013,Total_2013,hispanic_2014,black_2014,white_2014,other_2014,Total_2014,hispanic_2015,black_2015,white_2015,other_2015,Total_2015,hispanic_2016,black_2016,white_2016,other_2016,Total_2016,hispanic_2017,black_2017,white_2017,other_2017,Total_2017
Duplin,36.67698218,24.85327073,36.27147583,2.198271262,9371,37.19290971,24.10075671,35.13009226,3.576241319,9647,38.67453935,23.68930062,34.72462588,2.911534155,9823,40.08196721,23.20696721,33.67827869,3.032786885,9760,41.04214241,22.37907411,33.14303508,3.435748393,9634
Durham,24.11924119,50.69598423,19.33050012,5.854274452,32472,25.30810519,49.61767969,18.79816486,6.276050256,33349,27.25057212,48.5214135,18.51873867,5.709275716,33647,28.48486658,47.55835473,18.28846039,5.668318309,33502,30.6301403,44.76294146,18.82559265,5.781325593,33072
Edgecombe,8.963040551,57.80338171,31.1536735,2.079904235,6683,9.565075213,58.20797907,30.00327011,2.223675605,6116,10.05967604,57.25490196,30.5541347,2.131287298,5865,9.848993289,56.89597315,30.92281879,2.332214765,5960,10.32498307,56.07650643,30.46716317,3.131347329,5908
Forsyth,21.63011173,28.83074376,43.01192581,6.52721869,53162,22.21182109,28.62224552,42.42225675,6.743676633,53413,23.47850208,28.56773,41.4257975,6.527970411,54075,24.49979734,28.47009838,40.25756292,6.772541361,54278,26.18191821,28.67779204,38.10379608,7.036493673,54530
Franklin,14.56761463,30.49332559,50.89959373,4.039466048,8615,14.95165746,31.37661142,49.60865562,4.063075506,8688,15.96385542,30.97775718,49.00370714,4.054680259,8632,16.85950413,30.77922078,47.86304604,4.498229044,8470,19.39075116,30.59701493,44.92292635,5.089307563,8174
Gaston,9.519381833,20.2988233,64.6702363,5.511558562,31189,10.00383779,20.49699373,63.80324933,5.695919151,31268,10.88554428,20.97559423,62.39221052,5.746650969,31427,11.59562668,21.44192679,61.07114562,5.891300903,31555,13.20772641,22.2229259,58.16339455,6.405953134,31580
Gates,1.503759398,36.09022556,58.41526894,3.990746096,1729,1.686746988,35.96385542,58.37349398,3.975903614,1660,1.388050694,36.21001811,58.23777912,4.164152082,1657,1.723076923,34.46153846,59.07692308,4.738461538,1625,1.817080557,30.76923077,61.78073895,5.632949728,1651
Graham,2.682313495,0.167644593,81.47527242,15.67476949,1193,2.861952862,0.252525253,80.97643098,15.90909091,1188,3.550295858,0.422654269,80.05071851,15.97633136,1183,3.495311168,0.255754476,79.36913896,16.8797954,1173,3.84951881,0.262467192,77.69028871,18.19772528,1143
Granville,12.25138284,32.50559021,50.47663881,4.766388137,8497,13.40610818,33.11664418,48.28897338,5.188274255,8153,14.36539415,33.58948934,47.37233515,4.672781358,8068,15.69840869,33.70800707,45.93331649,4.660267744,7918,17.90765946,34.34747798,43.10114758,4.643714973,7494
Greene,27.93331236,38.94306386,31.7080843,1.415539478,3179,28.62583307,38.55918756,30.65693431,2.158045065,3151,29.33039925,38.25840931,30.2734989,2.13769255,3181,30.84436043,37.61814745,29.71014493,1.827347196,3174,30.97489403,36.4525595,30.19237039,2.380176071,3067
Guilford,11.80497095,40.71431529,37.27522391,10.20548985,72461,12.61925893,41.06944753,36.05502552,10.25626803,72112,13.50577906,40.99105357,35.14669927,10.3564681,71984,14.33852764,40.87973103,34.30337188,10.47836944,71681,15.70647779,40.61236441,32.51582499,11.16533281,71722
Halifax,2.949766355,85.57242991,4.351635514,7.126168224,3424,2.892307692,84.46153846,4.738461538,7.907692308,3250,3.681392236,84.77242303,4.384203481,7.161981258,2988,3.687477181,84.37385907,4.381161008,7.557502738,2739,4.027386226,83.12525171,3.987112364,8.860249698,2483
